 time[s]              longitude[deg]       latitude[deg]        azimuth[deg]
 1.5000000000000E-03  1.9097118093933E-05  1.9097118093934E-05  4.5000000000000E+01
 3.0000000000000E-03  3.8194236760356E-05  3.8194236760362E-05  4.5000000000000E+01
 4.5000000000000E-03  5.7291355999125E-05  5.7291355999143E-05  4.5000000000000E+01
 6.0000000000000E-03  7.6388475810098E-05  7.6388475810136E-05  4.5000000000000E+01
 7.5000000000000E-03  9.5485596193130E-05  9.5485596193198E-05  4.5000000000000E+01
 9.0000000000000E-03  1.1458271714808E-04  1.1458271714819E-04  4.5000000000000E+01
 9.9991499999833E+01  1.2716075778144E+00  1.2717147290511E+00  4.5000186436977E+01
 9.9992999999833E+01  1.2716266509527E+00  1.2717338070104E+00  4.5000186440832E+01
 9.9994499999833E+01  1.2716457240923E+00  1.2717528849713E+00  4.5000186444687E+01
 9.9995999999833E+01  1.2716647972333E+00  1.2717719629337E+00  4.5000186448542E+01
 9.9997499999833E+01  1.2716838703756E+00  1.2717910408976E+00  4.5000186452397E+01
 9.9998999999833E+01  1.2717029435193E+00  1.2718101188629E+00  4.5000186456252E+01
 1.0000049999983E+02  1.2717220166643E+00  1.2718291968298E+00  4.5000186460107E+01
 1.0000199999983E+02  1.2717410898107E+00  1.2718482747982E+00  4.5000186463962E+01
 1.0000349999983E+02  1.2717601629584E+00  1.2718673527680E+00  4.5000186467816E+01
 1.0000499999983E+02  1.2717792361075E+00  1.2718864307394E+00  4.5000186471671E+01
 1.0000649999983E+02  1.2717983092580E+00  1.2719055087123E+00  4.5000186475525E+01
 1.0000799999983E+02  1.2718173824098E+00  1.2719245866867E+00  4.5000186479379E+01
 1.0000949999983E+02  1.2718364555630E+00  1.2719436646625E+00  4.5000186483233E+01
 1.9999049999936E+02  2.5454511310666E+00  2.5463021481821E+00  4.5000242722736E+01
 1.9999199999936E+02  2.5454702341902E+00  2.5463212703355E+00  4.5000242723322E+01
 1.9999349999936E+02  2.5454893373124E+00  2.5463403924878E+00  4.5000242723907E+01
 1.9999499999936E+02  2.5455084404334E+00  2.5463595146391E+00  4.5000242724493E+01
 1.9999649999936E+02  2.5455275435529E+00  2.5463786367893E+00  4.5000242725079E+01
 1.9999799999936E+02  2.5455466466712E+00  2.5463977589384E+00  4.5000242725665E+01
 1.9999949999936E+02  2.5455657497881E+00  2.5464168810865E+00  4.5000242726252E+01
 2.0000099999936E+02  2.5455848529037E+00  2.5464360032336E+00  4.5000242726838E+01
 2.0000249999936E+02  2.5456039560180E+00  2.5464551253796E+00  4.5000242727424E+01
 2.0000399999936E+02  2.5456230591309E+00  2.5464742475245E+00  4.5000242728011E+01
 2.0000549999936E+02  2.5456421622425E+00  2.5464933696684E+00  4.5000242728597E+01
 2.0000699999936E+02  2.5456612653527E+00  2.5465124918112E+00  4.5000242729184E+01
 2.0000849999936E+02  2.5456803684616E+00  2.5465316139530E+00  4.5000242729771E+01
 2.0000999999936E+02  2.5456994715692E+00  2.5465507360938E+00  4.5000242730358E+01
 2.9999099999973E+02  3.8177836090515E+00  3.8206389822717E+00  4.5000385037874E+01
