 Arrow Test
            t(sec)              u(ft/sec)               v(ft/sec)               w(ft/sec)              p(rad/sec)            q(rad/sec)            r(rad/sec)               x(ft)                   y(ft)                   z(ft)                 e0                     ex                    ey                    ez
     0.000000000000E+00     2.100000000000E+02     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00    -5.000000000000E+00     9.990482215819E-01     0.000000000000E+00     4.361938736534E-02     0.000000000000E+00
     1.000000000000E-02     2.097035602008E+02    -7.096996507489E-25     3.206927091662E-01     0.000000000000E+00    -5.356773894816E-04     0.000000000000E+00     2.090392102030E+00     9.366564222547E-07    -4.815505405500E+00     9.990482215814E-01    -3.897649764849E-08     4.361938736594E-02    -8.927085640401E-07
     2.000000000000E-02     2.094075799202E+02    -2.070682772106E-17     6.432258534132E-01     0.000000000000E+00    -2.134046927702E-03    -8.375187473226E-21     4.177553485716E+00     1.489441880623E-05    -4.628066906912E+00     9.990482215553E-01    -3.108691335251E-07     4.361938739168E-02    -7.120073749033E-06
     3.000000000000E-02     2.091117447633E+02    -1.002236616042E-15     9.698054414940E-01     0.000000000000E+00    -4.787821288866E-03    -8.442930103605E-19     6.261484611640E+00     7.512648123537E-05    -4.437654893641E+00     9.990482212811E-01    -1.046516270002E-06     4.361938765474E-02    -2.396916323516E-05
     4.000000000000E-02     2.088157155059E+02    -1.687748742461E-14     1.302617947036E+00     0.000000000000E+00    -8.497128217575E-03    -2.001800362870E-17     8.342180774717E+00     2.367034619051E-04    -4.244218171378E+00     9.990482198990E-01    -2.475979411494E-06     4.361938897610E-02    -5.670925121216E-05
     5.000000000000E-02     2.085191192853E+02    -1.541809843449E-13     1.643845614050E+00     0.000000000000E+00    -1.326932587241E-02    -2.312151927713E-16     1.041963181570E+01     5.763775028560E-04    -4.047684101386E+00     9.990482151778E-01    -4.830139375687E-06     4.361939348543E-02    -1.106283744103E-04
     6.000000000000E-02     2.082215400550E+02    -9.471661249015E-13     1.995681262698E+00     0.000000000000E+00    -1.911887103936E-02    -1.707012195753E-15     1.249382172102E+01     1.192593777924E-03    -3.847958594260E+00     9.990482024793E-01    -8.342258235612E-06     4.361940561056E-02    -1.910690988964E-04
     7.000000000000E-02     2.079225080753E+02    -4.413217631980E-12     2.360342696403E+00     0.000000000000E+00    -2.606723711604E-02    -9.264688784447E-15     1.456472810031E+01     2.205643781137E-03    -3.644925962085E+00     9.990481733961E-01    -1.324951849136E-05     4.361943337724E-02    -3.034637535296E-04
     8.000000000000E-02     2.076214881921E+02    -1.678541264365E-11     2.740086800405E+00     0.000000000000E+00    -3.414287909232E-02    -4.015938275900E-14     1.663232152830E+01     3.757955505373E-03    -3.438448632109E+00     9.990481140326E-01    -1.979455047624E-05     4.361949005012E-02    -4.533693711217E-04
     9.000000000000E-02     2.073178666382E+02    -5.467286966256E-11     3.137223410877E+00     0.000000000000E+00    -4.338124300236E-02    -1.466524393334E-13     1.869656473487E+01     6.014516167339E-03    -3.228366724285E+00     9.990480028851E-01    -2.822695867942E-05     4.361959615680E-02    -6.465025648534E-04
     1.000000000000E-01     2.070109360587E+02    -1.576053237469E-10     3.554129022197E+00     0.000000000000E+00    -5.382481749459E-02    -4.679192111755E-13     2.075741162368E+01     9.163423470313E-03    -3.014497494341E+00     9.990478082638E-01    -3.880485747769E-05     4.361978194839E-02    -8.887745549545E-04
     1.100000000000E-01     2.066998784346E+02    -4.116788751021E-10     3.993260387612E+00     0.000000000000E+00    -6.552322525282E-02    -1.338843767561E-12     2.281480609621E+01     1.341656149130E-02    -2.796634643516E+00     9.990474851894E-01    -5.179642672053E-05     4.362009036210E-02    -1.186326548639E-03
     1.200000000000E-01     2.063837455304E+02    -9.915204093955E-10     4.457168054644E+00     0.000000000000E+00    -7.853335199465E-02    -3.501961259463E-12     2.486868065399E+01     1.901039709375E-02    -2.574547495598E+00     9.990469716806E-01    -6.748149771892E-05     4.362058056510E-02    -1.545565664294E-03
     1.300000000000E-01     2.060614364534E+02    -2.231269215793E-09     4.948509860696E+00     0.000000000000E+00    -9.291951065801E-02    -8.496764842604E-12     2.691895474677E+01     2.620689224629E-02    -2.347980041622E+00     9.990461843341E-01    -8.615318046853E-05     4.362133217385E-02    -1.973201578440E-03
     1.400000000000E-01     2.057316718486E+02    -4.740046709201E-09     5.470064395548E+00     0.000000000000E+00    -1.087536381455E-01    -1.934121265912E-11     2.896553282956E+01     3.529452670126E-02    -2.116649852419E+00     9.990450130804E-01    -1.081195434214E-04     4.362245025982E-02    -2.476284060297E-03
     1.500000000000E-01     2.053929641989E+02    -9.583849153465E-09     6.024744414954E+00     0.000000000000E+00    -1.261155216054E-01    -4.167799893327E-11     3.100830208498E+01     4.658942406326E-02    -1.880246859246E+00     9.990433149795E-01    -1.337053578439E-04     4.362407127146E-02    -3.062241543250E-03
     1.600000000000E-01     2.050435836240E+02    -1.856446689459E-08     6.615610162274E+00     0.000000000000E+00    -1.450930506575E-01    -8.563873969640E-11     3.304712976093E+01     6.043657224202E-02    -1.638432003042E+00     9.990409068990E-01    -1.632539198116E-04     4.362637002338E-02    -3.738920864066E-03
     1.700000000000E-01     2.046815184939E+02    -3.463756135773E-08     7.245882521642E+00     0.000000000000E+00    -1.657824911833E-01    -1.687900480276E-10     3.508186006554E+01     7.721112649066E-02    -1.390835753452E+00     9.990375568887E-01    -1.971289642579E-04     4.362956792769E-02    -4.514628278365E-03
     1.800000000000E-01     2.043044300848E+02    -6.252724910440E-08     7.918955885006E+00     0.000000000000E+00    -1.882887752503E-01    -3.206759458611E-10     3.711231055293E+01     9.731977949872E-02    -1.137056499748E+00     9.990329740432E-01    -2.357166872938E-04     4.363394266939E-02    -5.398171833181E-03
     1.900000000000E-01     2.039096004082E+02    -1.096145010874E-07     8.638410564570E+00     0.000000000000E+00    -2.127258003679E-01    -5.896730879488E-10     3.913826792328E+01     1.212021781137E-01    -8.766588172665E-01     9.990267966058E-01    -2.794278953467E-04     4.363983955765E-02    -6.398905142865E-03
     2.000000000000E-01     2.034938722359E+02    -1.872026860433E-07     9.408024519357E+00     0.000000000000E+00    -2.392167295124E-01    -1.053143805571E-09     4.115948315005E+01     1.493323599288E-01    -6.091716150804E-01     9.990185780358E-01    -3.287003026647E-04     4.364768481877E-02    -7.526772571022E-03
     2.100000000000E-01     2.030535802350E+02    -3.122973225545E-07     1.023178408705E+01     0.000000000000E+00    -2.678942811304E-01    -1.832225600575E-09     4.317566583474E+01     1.822201748566E-01    -3.340861734654E-01     9.990077707207E-01    -3.840010025354E-04     4.365800113390E-02    -8.792355766304E-03
     2.200000000000E-01     2.025844720059E+02    -5.100806105840E-07     1.111389331664E+01     0.000000000000E+00    -2.989009955313E-01    -3.113057302253E-09     4.518647767640E+01     2.204126464942E-01    -5.085408359162E-02     9.989937069686E-01    -4.458291423885E-04     4.367142576541E-02    -1.020692143066E-02
     2.300000000000E-01     2.024505281884E+02    -8.139781681683E-07     1.204827789534E+01     0.000000000000E+00    -3.042712153177E-01    -3.382342705906E-09     4.719298440228E+01     2.644725254205E-01     2.412328138219E-01     9.989762627031E-01    -5.122809349299E-04     4.368807661416E-02    -1.172672527652E-02
