 --------------------------------------------------
 Mach Number =   0.29999999999999999     
 --------------------------------------------------
    alpha(deg)                CL                        CD                        Cm
  -180.00000000000000        6.7858741781327015E-007   1.3632911649741949E-006  -2.0191644319104875E-008
  -179.00000000000000       -6.3776273916330473E-004  -1.0108397595084371E-005   1.9742870841622383E-004
  -178.00000000000000       -2.5509913165179874E-003  -9.1453356572633867E-005   7.8953886945796960E-004
  -177.00000000000003       -5.7325385502340316E-003  -3.1231498530765242E-004   1.7755888612336205E-003
  -175.99999999999997       -1.0171648442033778E-002  -7.4183681264154277E-004   3.1543772938180162E-003
  -174.99999999999997       -1.5853315837262912E-002  -1.4484151360177914E-003   4.9242242806897384E-003
  -174.00000000000000       -2.2758339724996638E-002  -2.4994546057713306E-003   7.0829734847043307E-003
  -173.00000000000000       -3.0863391356074087E-002  -3.9611277133055987E-003   9.6279947444567488E-003
  -172.00000000000000       -4.0141096879268250E-002  -5.8981391228444691E-003   1.2556187277820322E-002
  -171.00000000000000       -5.0560134132722166E-002  -8.3734957618890188E-003   1.5863983458745477E-002
  -170.00000000000000       -6.2085343166498656E-002  -1.1448283557024574E-002   1.9547353162704239E-002
  -169.00000000000000       -7.4677850013458238E-002  -1.5181451668652432E-002   2.3601808675467194E-002
  -168.00000000000000       -8.8295203169399872E-002  -1.9629605040864369E-002   2.8022410159214518E-002
  -167.00000000000000      -0.10289152219059290       -2.4846806041817521E-002   3.2803771669301179E-002
  -166.00000000000003      -0.11841765776683000       -3.0884385925189172E-002   3.7940067714321492E-002
  -164.99999999999997      -0.13482136258214869       -3.7790766795064060E-002   4.3425040351454405E-002
  -164.00000000000000      -0.15204747223284140       -4.5611294705647079E-002   4.9252006808417056E-002
  -163.00000000000000      -0.17003809543409540       -5.4388084473172248E-002   5.5413867622706066E-002
  -162.00000000000000      -0.18873281271243131       -6.4159876721014378E-002   6.1903115288175159E-002
  -160.99999999999997      -0.20806888275132229       -7.4961907620628626E-002   6.8711843398372954E-002
  -160.00000000000000      -0.22798145553215002       -8.6825791730690036E-002   7.5831756275455631E-002
  -159.00000000000000      -0.24840379139194685       -9.9779418275356205E-002   8.3254179072894896E-002
  -158.00000000000000      -0.26926748510346549      -0.11384686113993067        9.0970068339612770E-002
  -156.99999999999997      -0.29050269407182883      -0.12904830279902377        9.8970023032612375E-002
  -156.00000000000000      -0.31203836973556909      -0.14539997232900215       0.10724429596461772     
  -155.00000000000000      -0.33380249125811684      -0.16291409759290934       0.11578280567269651     
  -154.00000000000003      -0.35572230059869359      -0.18159887162352290       0.12457514869332038     
  -153.00000000000000      -0.37772453805908240      -0.20145843316799666       0.13361061222881190     
  -152.00000000000000      -0.39973567741500121      -0.22249286129674337       0.14287818718963852     
  -151.00000000000000      -0.42168215975688184      -0.24469818392016288       0.15236658159654720     
  -150.00000000000003      -0.44349062518590776      -0.26806639999923426       0.16206423432608119     
  -149.00000000000000      -0.46508814153549816      -0.29258551518091980       0.17195932918258300     
  -148.00000000000000      -0.48640242931725342      -0.31823959053676404       0.18203980927938199     
  -147.00000000000000      -0.50736208212217526      -0.34500880403297352       0.19229339171146859     
  -146.00000000000000      -0.52789678174379751      -0.37286952431361342       0.20270758250157644     
  -145.00000000000000      -0.54793750732799196      -0.40179439633497921       0.21326969180125085     
  -144.00000000000000      -0.56741673789596914      -0.43175243834899801       0.22396684932813973     
  -143.00000000000000      -0.58626864763042952      -0.46270914969740951       0.23478602002043514     
  -142.00000000000000      -0.60442929336107376      -0.49462662884577469       0.24571401988909772     
  -141.00000000000000      -0.62183679373339840      -0.52746370105797946       0.25673753204822619     
  -140.00000000000000      -0.63843149959397971      -0.56117605508756729       0.26784312290368789     
  -139.00000000000000      -0.65415615517614933      -0.59571638824198925       0.27901725847988951     
  -137.99999999999997      -0.66895604972100364      -0.63103455916010609       0.29024632086436697     
  -137.00000000000000      -0.68277915922080223      -0.66707774763162775       0.30151662474967528     
  -136.00000000000000      -0.69557627802343980      -0.70379062077999277       0.31281443405191056     
  -135.00000000000000      -0.70730114008851541      -0.74111550492723755       0.32412597858503045     
  -133.99999999999997      -0.71791052973660330      -0.77899256246067616       0.33543747077002839     
  -133.00000000000000      -0.72736438178354401      -0.81735997302686103       0.34673512235790854     
  -132.00000000000000      -0.73562587100049126      -0.85615411838773536       0.35800516114532566     
  -131.00000000000003      -0.74266149088797639      -0.89530977028761660       0.36923384766167966     
  -130.00000000000000      -0.74844112179759048      -0.93476028069705441       0.38040749180642963     
  -129.00000000000000      -0.75293808847852506      -0.97443777382074537       0.39151246941533785     
  -128.00000000000000      -0.75612920716688081       -1.0142733392813763       0.40253523873437802     
  -127.00000000000003      -0.75799482237396532       -1.0541972259192192       0.41346235678002341     
  -126.00000000000000      -0.75851883356509187       -1.0941390356784819       0.42428049556467745     
  -124.99999999999999      -0.75768871195210852       -1.1340279170853125       0.43497645816603908     
  -124.00000000000000      -0.75549550765182327       -1.1737927578592326       0.44553719461926883     
  -123.00000000000001      -0.75193384748694481       -1.2133623762386352       0.45594981761088982     
  -122.00000000000000      -0.74700192372755314       -1.2526657106425148       0.46620161795343840     
  -121.00000000000000      -0.74070147408786724       -1.2916320073335565       0.47628007982000620     
  -119.99999999999999      -0.73303775330590182       -1.3301910057927715       0.48617289571790367     
  -119.00000000000000      -0.72401949664219545       -1.3682731215619139       0.49586798118083142     
  -118.00000000000000      -0.71365887563744956       -1.4058096263573843       0.50535348915905598     
  -117.00000000000000      -0.70197144646844012       -1.4427328253073797       0.51461782408726486     
  -116.00000000000000      -0.68897609123603498       -1.4789762312128867       0.52364965560991550     
  -114.99999999999999      -0.67469495250869316       -1.5144747357820432       0.53243793194406630     
  -114.00000000000000      -0.65915336142973380       -1.5491647778364324       0.54097189285985314     
  -113.00000000000000      -0.64237975967593108       -1.5829845085365994       0.54924108225896295     
