 Scott Sterling
            t(sec)              u(ft/sec)               v(ft/sec)               w(ft/sec)              p(rad/sec)            q(rad/sec)            r(rad/sec)               x(ft)                   y(ft)                   z(ft)                 e0                     ex                    ey                    ez
     0.000000000000E+00     1.156774380727E+02     0.000000000000E+00    -2.097356177412E+01     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00    -3.500000000000E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     1.000000000000E-02     1.156718712259E+02     0.000000000000E+00    -2.065082078355E+01     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     1.156746543602E+00     0.000000000000E+00    -3.520812189936E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     2.000000000000E-02     1.156639671569E+02     0.000000000000E+00    -2.032768192450E+01     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     2.313428080876E+00     0.000000000000E+00    -3.541301481219E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     3.000000000000E-02     1.156555783288E+02     0.000000000000E+00    -2.000447988914E+01     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     3.470025823924E+00     0.000000000000E+00    -3.561467560453E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     4.000000000000E-02     1.156471708602E+02     0.000000000000E+00    -1.968129799836E+01     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     4.626539585317E+00     0.000000000000E+00    -3.581310447712E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     5.000000000000E-02     1.156387449583E+02     0.000000000000E+00    -1.935813639240E+01     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     5.782969179683E+00     0.000000000000E+00    -3.600830163211E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     6.000000000000E-02     1.156303008324E+02     0.000000000000E+00    -1.903499521021E+01     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     6.939314423736E+00     0.000000000000E+00    -3.620026727305E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     7.000000000000E-02     1.156218386941E+02     0.000000000000E+00    -1.871187458936E+01     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     8.095575136289E+00     0.000000000000E+00    -3.638900160485E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     8.000000000000E-02     1.156133587575E+02     0.000000000000E+00    -1.838877466606E+01     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     9.251751138290E+00     0.000000000000E+00    -3.657450483382E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     9.000000000000E-02     1.156048612389E+02     0.000000000000E+00    -1.806569557509E+01     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     1.040784225283E+01     0.000000000000E+00    -3.675677716761E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     1.000000000000E-01     1.155963463569E+02     0.000000000000E+00    -1.774263744981E+01     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     1.156384830519E+01     0.000000000000E+00    -3.693581881521E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     1.100000000000E-01     1.155878143323E+02     0.000000000000E+00    -1.741960042211E+01     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     1.271976912283E+01     0.000000000000E+00    -3.711162998694E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     1.200000000000E-01     1.155792653883E+02     0.000000000000E+00    -1.709658462238E+01     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     1.387560453544E+01     0.000000000000E+00    -3.728421089441E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     1.300000000000E-01     1.155706997501E+02     0.000000000000E+00    -1.677359017950E+01     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     1.503135437495E+01     0.000000000000E+00    -3.745356175057E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     1.400000000000E-01     1.155621176453E+02     0.000000000000E+00    -1.645061722077E+01     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     1.618701847555E+01     0.000000000000E+00    -3.761968276962E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     1.500000000000E-01     1.155535193036E+02     0.000000000000E+00    -1.612766587195E+01     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     1.734259667373E+01     0.000000000000E+00    -3.778257416702E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     1.600000000000E-01     1.155449049568E+02     0.000000000000E+00    -1.580473625716E+01     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     1.849808880827E+01     0.000000000000E+00    -3.794223615951E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     1.700000000000E-01     1.155362748390E+02     0.000000000000E+00    -1.548182849890E+01     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     1.965349472030E+01     0.000000000000E+00    -3.809866896502E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     1.800000000000E-01     1.155276291863E+02     0.000000000000E+00    -1.515894271802E+01     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     2.080881425327E+01     0.000000000000E+00    -3.825187280274E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     1.900000000000E-01     1.155189682368E+02     0.000000000000E+00    -1.483607903366E+01     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     2.196404725303E+01     0.000000000000E+00    -3.840184789304E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     2.000000000000E-01     1.155102922309E+02     0.000000000000E+00    -1.451323756326E+01     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     2.311919356782E+01     0.000000000000E+00    -3.854859445746E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     2.100000000000E-01     1.155016014108E+02     0.000000000000E+00    -1.419041842251E+01     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     2.427425304827E+01     0.000000000000E+00    -3.869211271873E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     2.200000000000E-01     1.154928960209E+02     0.000000000000E+00    -1.386762172535E+01     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     2.542922554747E+01     0.000000000000E+00    -3.883240290072E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
